algo,bucket,atk_style,fpr,threshold,tpr_clean,tpr_attack,n,file,attack_ratio,attack_seed
bytekgw_v6,ppl_ge_20,token,0.05,1.9376787740906782,0.9565217391304348,0.9565217391304348,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,token,0.1,1.382930966702984,0.9782608695652174,0.9782608695652174,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
bytekgw_v6,ppl_ge_20,token,0.2,1.1523916463544972,0.9782608695652174,0.9782608695652174,46,outputs/wm_eval/bytekgw_v6/ppl_ge_20.csv,0.02,0
kgw,ppl_0_3,char,0.01,2.1878474382131707,0.624,0.408,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,char,0.05,1.5276379211183189,0.72,0.584,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,char,0.1,1.1532026875219443,0.816,0.736,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,char,0.2,0.8485319339365254,0.848,0.792,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,token,0.01,2.1878474382131707,0.624,0.432,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,token,0.05,1.5276379211183189,0.72,0.672,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,token,0.1,1.1532026875219443,0.816,0.72,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_0_3,token,0.2,0.8485319339365254,0.848,0.808,125,outputs/wm_eval/kgw/ppl_0_3.csv,0.02,0
kgw,ppl_12_20,char,0.01,2.1878474382131707,1.0,0.967741935483871,93,outputs/wm_eval/kgw/ppl_12_20.csv,0.02,0
kgw,ppl_12_20,char,0.05,1.5276379211183189,1.0,0.978494623655914,93,outputs/wm_eval/kgw/ppl_12_20.csv,0.02,0
kgw,ppl_12_20,char,0.1,1.1532026875219443,1.0,0.989247311827957,93,outputs/wm_eval/kgw/ppl_12_20.csv,0.02,0
kgw,ppl_12_20,char,0.2,0.8485319339365254,1.0,1.0,93,outputs/wm_eval/kgw/ppl_12_20.csv,0.02,0
kgw,ppl_12_20,token,0.01,2.1878474382131707,1.0,0.967741935483871,93,outputs/wm_eval/kgw/ppl_12_20.csv,0.02,0
kgw,ppl_12_20,token,0.05,1.5276379211183189,1.0,1.0,93,outputs/wm_eval/kgw/ppl_12_20.csv,0.02,0
kgw,ppl_12_20,token,0.1,1.1532026875219443,1.0,1.0,93,outputs/wm_eval/kgw/ppl_12_20.csv,0.02,0
