seed_window_chars	m_bits	target_anchors	n_bytes	k_choices	normalize_whitespace	total_traced	extra_tokens	extra_rate	aligned_tokens	uid_change_aligned	uid_change_rate_aligned	same_uid_tokens	prf_flip_same_uid	prf_flip_rate_same_uid	p_attack_green	p_clean_green_aligned
18	512	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	17	0.10179640718562874	0.565	0.5257142857142857
18	512	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	17	0.10179640718562874	0.565	0.5257142857142857
18	512	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	17	0.10179640718562874	0.565	0.5257142857142857
12	256	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	18	0.10843373493975904	0.565	0.6114285714285714
12	256	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	18	0.10843373493975904	0.565	0.6114285714285714
12	256	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	18	0.10843373493975904	0.565	0.6114285714285714
18	256	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	18	0.10843373493975904	0.68	0.7428571428571429
18	256	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	18	0.10843373493975904	0.68	0.7428571428571429
18	256	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	18	0.10843373493975904	0.68	0.7428571428571429
18	512	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	18	0.11042944785276074	0.525	0.52
18	512	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	18	0.11042944785276074	0.525	0.52
18	512	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	18	0.11042944785276074	0.525	0.52
18	256	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	19	0.11377245508982035	0.565	0.5371428571428571
18	256	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	19	0.11377245508982035	0.565	0.5371428571428571
18	256	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	19	0.11377245508982035	0.565	0.5371428571428571
18	256	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	22	0.13496932515337423	0.565	0.56
18	256	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	22	0.13496932515337423	0.565	0.56
18	256	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	22	0.13496932515337423	0.565	0.56
