row_idx,attack_ratio,seed_used,attack_style_used,seed_window_chars,n_bytes,clean_tokens,attacked_tokens,traced_tokens,extra_token_count_in_traced,tail_match_rate_over_traced,green_flip_rate_uid_cleanfp_vs_attackfp,aligned_tokens,aligned_rate_over_traced,uid_match_rate_aligned,token_id_match_rate_aligned,char_ops,char_replace,char_delete,char_insert,segment_char_len,actual_char_edit_rate
99,0.0,99,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
100,0.0,100,none,18,3,161,161,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
101,0.0,101,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
102,0.0,102,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
103,0.0,103,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
104,0.0,104,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
105,0.0,105,none,18,3,165,165,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
106,0.0,106,none,18,3,151,151,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
107,0.0,107,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
108,0.0,108,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
109,0.0,109,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
110,0.0,110,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
111,0.0,111,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
112,0.0,112,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
113,0.0,113,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,0.9921875,0,0,0,0,0,0.0
114,0.0,114,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
115,0.0,115,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
116,0.0,116,none,18,3,159,159,127,0,1.0,0.0,127,1.0,1.0,1.0,0,0,0,0,0,0.0
117,0.0,117,none,18,3,167,167,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
118,0.0,118,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
119,0.0,119,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
120,0.0,120,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
121,0.0,121,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
122,0.0,122,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
123,0.0,123,none,18,3,161,161,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
124,0.0,124,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
125,0.0,125,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
126,0.0,126,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
127,0.0,127,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
128,0.0,128,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
129,0.0,129,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
130,0.0,130,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
131,0.0,131,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
132,0.0,132,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
133,0.0,133,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
134,0.0,134,none,18,3,151,151,128,0,1.0,0.0,128,1.0,1.0,0.9921875,0,0,0,0,0,0.0
135,0.0,135,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
136,0.0,136,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
137,0.0,137,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
138,0.0,138,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
139,0.0,139,none,18,3,158,158,127,0,1.0,0.0,127,1.0,1.0,1.0,0,0,0,0,0,0.0
140,0.0,140,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
141,0.0,141,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
142,0.0,142,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
